Sistema,Ambiente,Modulo,Pod,Uso_CPU,Hora,Minuto,Hash
cadmei,cadmei-prd,activemq-artemis,activemq-artemis-74b969db9d-kllrj,0.0950661592197832,4,0,c84d6c28aa053c9000e49dac407b17ee
rendavar,rendavar-revarhom,activemq-revar,activemq-revar-659c858b5c-mhns2,0.1336709836770648,4,0,87255aeaab0550c89f64c2d2608e3548
mapasgovbr,mapasgovbr-dsv,airflow-scheduler,airflow-scheduler-7d5659f98c-mr6hx,2.758716464928697,4,0,53b2aef2ae2d4e1bdb84315a60ac6712
biovoz,biovoz-t,airflow-webserver,airflow-webserver-6d9cf87654-lwbg7,0.1975966016464017,4,0,914f123e097895c95b3f13649897a4a7
custos,custos-d,airflow-webserver,airflow-webserver-696489d47b-xng8m,0.1993235707254389,4,0,dffe60147f77e98539f9e39f4994e1ab
neoid,neoid-p,api,api-68bb77874-t6kg7,0.0376406869351405,4,0,b1f8f52fa1452b7e8953360270e86606
neoid,neoid-p,api,api-68bb77874-xh4lv,0.0091310924467604,4,0,6096e3488387e69289a82d654bce732f
sigepe-servidor,sigepe-servidor-pro,api-cadastro,api-cadastro-68b9769666-vt9hw,0.0031401872007626,4,0,47f677425069b597530503d9c7f0474a
sigepe-servidor,sigepe-servidor-mon,api-prometheus,api-prometheus-7c5c76df4c-2rkpq,0.0011598252083977,4,0,dec4883e291046631f4ed7e8182ebd32
scaibama,scaibama-t1,apicorp-registry,apicorp-registry-69b987b85c-f5z5m,0.0001702978793319,4,0,ff89b236b53b1b4b8a88d893a1724282
scaibama,scaibama-h,apicorp-registry,apicorp-registry-6c7fc5445c-wvnhn,0.0003996743094926,4,0,6db783081354c20dcded312a7cfa91ee
scaibama,scaibama-val,apicorp-registry,apicorp-registry-7496d6b5b6-6nbq2,0.0002364924544274,4,0,0b97b8481c8f8be59224f83a77e851c5
portemp,portemp-production,arealogada-backend,arealogada-backend-66bfd9dcc6-q5zv7,3.003205260261689e-05,4,0,564364e7b7926b52a473961832c4a1cc
radarv2,radarv2-p,backend-denatran,backend-denatran-5fb54f459c-2ghll,0.0093666624259895,4,0,2bfe097abd09fd6cfec7bfb11507389d
caepf,caepf-mon,caepf-pth,caepf-pth-667c96554f-mztjz,0.0051734995480674,4,0,9506b2e0f76d7695d91ccbbd9a1922b6
esmon,esmon-pr,ceph,ceph-6465966654-522tn,0.4132718238830363,4,0,ac4147a913ea1e5803578bea8ee4d1bc
carneleaoweb,carneleaoweb-mon,clweb-prometheus,clweb-prometheus-7f4c6469cd-zq7pf,0.0071616044507371,4,0,60d03626d732bb7f9a82eb576c02070b
cnbs,cnbs-p,cnbs-kibana,cnbs-kibana-5bb4486f9-dqqsn,0.0003394017591327,4,0,3e751e4d49c62a4626f68f9c7dda5a4a
cnbs,cnbs-t,cnbs-kibana,cnbs-kibana-cb75c5d8f-j5xjv,0.0001394641441671,4,0,3e15150589d9ef21bacbcccdb53d3e80
cnbs,cnbs-h,cnbs-kibana,cnbs-kibana-74b47dc547-rmh7z,0.0001911859959026,4,0,7190976ba497341414c81a9d4deaadae
cnetmobile,cnetmobile-pro,cnet-comprasnet-riscos,cnet-comprasnet-riscos-7f67f98df7-t62gn,0.0049495724919282,4,0,fd652ed862b3da12ec5e1b84ca49a7fd
cnetmobile,cnetmobile-pro,cnet-comprasnet-riscos,cnet-comprasnet-riscos-7f67f98df7-wclvx,0.0017530369297771,4,0,f7e6dd3c17090183b78398d7c75b508b
cnetmobile,cnetmobile-pro,cnet-comprasnet-riscos,cnet-comprasnet-riscos-7f67f98df7-rcl8f,0.0010249170459736,4,0,389838d84d088e35a7f0ffc1f2a9d365
