hash,mediana_cpu,pico_cpu,mediana_memoria,pico_memoria,flavor
0008019539e8167e69236ac2ea9ae47e,0.9114531943193,3.6507621287416,1.87890625,2.6484375,f3
00192f6f6f4e5a93d8d562202c6d0227,0.92614494430275,1.0393397664414,485.29296875,485.4296875,f9
0037ae84e6ff5ab17ac50cb82c22dc97,1.0687867027,5.4538071886898,284.39453125,293.79296875,f5
00397e755d86f88d58f23419ce8ba8e8,0.00137836569215,0.0025505987372,11.078125,11.08203125,f0
003c3255c6f292d40085b45189c83b23,0.1177606023172,0.17037177332179998,241.95703125,241.97265625,f4
004156954736d58869a3a2e1d5e197e8,5.7364425578111,6.7962326229698995,347.240234375,347.58984375,f6
004428b1faa8b72bc0d20064b5f005e0,0.21659243911085,0.4681222278481,3.34375,3.54296875,f0
0051953fb8daf70386e5382d82e05d08,6.506901615,6.506901615,65.734375,65.734375,f6
0051b976de3a404cb691cdf2efcfcca2,1.86452314959015,2.0293444489061,18.37109375,18.515625,f2
005d2c19a39bb668f1d131745c898c6d,2.6784508667443,3.2580897371938,46.828125,46.84375,f3
0066c35252c12588ffbc2882cda6f3c0,0.00997529756245,0.0866302504982,3.09765625,3.09765625,f0
006a91c9f26bdf9cd595f1daadd2af58,0.6156171575874501,0.7182265852447,186.9375,188.99609375,f3
0070b475a3af930fdb3bc16f796b6f23,4.9858638232756505,5.6147071899558005,125.265625,126.53515625,f5
00713f5401f9a3170b1b63d6949409cb,7.824921011626699,8.3085045603255,254.3203125,254.609375,f8
0071e869992f29ffa91f480d34b5097a,5.98431415423905,7.0894245074975,144.81640625,144.83203125,f6
007576accb76d562ece8ab38db2a9f6b,2.4102505300069,2.4724192101198,487.62890625,487.63671875,f9
00767e02fd390ca1c2c8bf53c1e96bf2,5.59000103822955,6.2729250464344,502.96875,506.2421875,f10
0086ae9e44b1dd47e70cb4b0a2220b53,0.0264785841884,0.1946064214171,1.80078125,1.8046875,f0
009b2d43b1ae5f6345bf5049cfb9f01c,1.23943308454525,1.4008853187141999,20.947265625,21.6484375,f1
00a5278519fdd55d1937fcde26daa4aa,2.9756043413379,3.8861136921769,506.4296875,506.578125,f10
00ce7fd591d01e3023202d249bf939cc,2.9014580372814,4.8857436399623,65.67578125,66.6171875,f4
00d207a41d83032b90e05f9205e6acb1,0.00320404750445,0.0194758530106,4.90234375,4.98046875,f0
00d6453f3dc35016b0cc6aa2d72ca150,5.6174708836053,5.6174708836053,129.623046875,130.20703125,f5
00e2a71ab63c3a9d9231fcf6ebacdc64,0.01700841469785,0.1014686463544,1.875,1.8984375,f0
00efdcb1ac3df836c1ba01439a43ccb8,0.9605445028759501,1.6188060935589998,47.08984375,50.26171875,f1
00f13bd8364129f578d9df39509a7429,0.13230955670080002,5.431666463411999,312.80859375,313.39453125,f6
00f584a7d1cb7230fe9a0e088258b8d8,3.51880662249435,9.105625480718599,65.759765625,66.80859375,f8
00f8eb64dd9a04a1af1611f30201a163,1.8134731676271998,2.6076472496641,38.1328125,41.75390625,f2
010323ac4869d7c0d0b24548752877ad,0.0009792410549,0.020614379328,3.1484375,3.1484375,f0
010f69674e54bc5253fd65a697d0b55e,2.4594929765879003,4.1452168569323,145.6875,153.1484375,f3
01112169067904e50cef1942ab92fddf,0.02453755005815,0.0320616264757,81.41796875,81.41796875,f1
012d84e961959e7ea2c6ac08d6dd0044,1.51416834224985,2.6309758216315,105.15234375,159.53515625,f3
01361611c34772898b38e3d8bd513523,0.026087568116600002,0.0403373052357,15.41796875,15.4765625,f0
01495d06219fb9363117d9aa5ea14795,3.85212143360185,6.1118139940973,40.779296875,45.58984375,f5
0155d003c2b574fc2b9aace92a1a9be4,0.01317019572195,0.0139129670571,3.6015625,3.6171875,f0
0158fa880779320ca25bb364fae35970,1.7374670818622,2.1078400225408997,492.14453125,492.3984375,f9
015d44063b5324636fc9ae0acd41481b,0.7386491905531001,2.6034688382865,331.8671875,332.03515625,f6
0160e6588415e0733788872d93a90f14,4.98520068148935,5.3880182135562,145.47265625,145.52734375,f5
0171873e406032304be6af0ab0cab5a1,3.64843270118635,4.5352320008321,109.533203125,112.7109375,f4
017bd36dd7a2c0efc326abd19d61440f,0.5483056007669,6.4170429648766,154.748046875,162.65625,f5
01933e99b46f3db81104927deb675949,0.75558851760365,1.0708287301193,32.138671875,34.37109375,f1
01adf8f8160b8b417d13a16ce31144a7,0.08650524524889999,0.25439412991050003,9.51171875,9.53125,f0
