Sistema,Ambiente,Modulo,Pod,Error,Qtd,Hora,Minuto,Hash
siconv,siconv-p,siconv-vrpl-backend,siconv-vrpl-backend-55b666988f-7j98r,OOMKilled,1,12,45,5c04fe75ca7ed33a67f57fc13d08128d
siconv,siconv-p,siconv-vrpl-backend,siconv-vrpl-backend-55b666988f-fptbb,OOMKilled,1,12,45,e1713466f57cafc24770723706921395
sida,sida-p,sida-conta-corrente-api,sida-conta-corrente-api-7989dc9b9-5vxpt,OOMKilled,1,12,45,df334bc9d8660ec3e7fe35bb062c656d
sida,sida-d,sida-crypto-api,sida-crypto-api-1667490120-6kzmg,OOMKilled,1,12,45,08a0f284a961207fe9fc4e5dfb279398
sida,sida-h,sida-sicar-api,sida-sicar-api-d898457fd-5zgxw,OOMKilled,1,12,45,8ba156e03ef5a52f50d317319fdb983f
sief-fpem,sief-fpem-pro,sief-fpem-batch,sief-fpem-batch-5c7ccd5fcb-6cswn,OOMKilled,1,12,45,ae20758c0a99b338b6f29b07f9a254f9
sief-fpem,sief-fpem-pro,sief-fpem-suite-rfb-api,sief-fpem-suite-rfb-api-7889cbd57b-7zjhz,OOMKilled,1,12,45,3da1ac8cd18b1ac06161c0fff093eef9
sieftom,sieftom-prod,sieftom-elasticsearch-krakend,sieftom-elasticsearch-krakend-656fdf99f7-hf5jg,OOMKilled,1,12,45,669ce7a93a959d704886e53e593bbfb6
sigaibama,sigaibama-des,siga-bpm,siga-bpm-746c7f7b6d-qcm6m,OOMKilled,1,12,45,11e003a607c89b96d8aca81b4289532b
sigaibama,sigaibama-hom,siga-bpm,siga-bpm-776bd78b55-hxhrn,OOMKilled,1,12,45,2c441617d07146c13f3f03a80860691b
sigaibama,sigaibama-prod,siga-fca,siga-fca-b5cbc99d6-fn99v,OOMKilled,1,12,45,c03bbef4b1252b54b377985d58e21a10
sabia,sabia-h,siger-api,siger-api-66477fc6d6-s7flg,OOMKilled,1,12,45,40260321c7be6598f76ce987aa1df775
sabia,sabia-p,siger-api,siger-api-fbb48cdc7-rmddc,OOMKilled,1,12,45,95e7781e02ea9aaa0b4cbb74dca96d1a
sinaflor,sinaflor-prod,sinaflor-autorizacao,sinaflor-autorizacao-546fb6967d-p2msc,OOMKilled,1,12,45,99b00b0c959457cb40c43cde11995fdb
sinespgateway,sinespgateway-prod,sinespgatewaylogger,sinespgatewaylogger-8495847bc5-r967v,OOMKilled,1,12,45,52e37aaeb7baaa0f4890a92b34e0435a
sipac,sipac-h,sipac-backend,sipac-backend-565f54d44-s4tkc,OOMKilled,1,12,45,aac684257f1c7e54ced02e6cb37d60b1
sipac,sipac-p,sipac-backend,sipac-backend-599487dfc7-ltmj6,OOMKilled,1,12,45,90ab980059457b93d05e40a8e4030848
embarqueseguro,embarqueseguro-p,sisbraip-vu,sisbraip-vu-5dc8b47c68-ftpxv,OOMKilled,1,12,45,2a3de364f4de2516de4df5588681b286
embarqueseguro,embarqueseguro-p,sisbraip-vu,sisbraip-vu-5dc8b47c68-h22fq,OOMKilled,1,12,45,049f30d3e9b9ad2b0b9ee8e6612fc6da
embarqueseguro,embarqueseguro-p,sisbraip-web-inspection,sisbraip-web-inspection-8499b9dfd5-p7mnv,OOMKilled,1,12,45,a97cc12edfc00b5f4dbf5dd4394b900b
siscat,siscat-p,siscat-analista,siscat-analista-7cfb9488bb-tqfl6,OOMKilled,1,12,45,49c1ed4e09c4c852976162a1dc032496
siscat,siscat-p,siscat-email,siscat-email-867df458d8-56jwh,OOMKilled,1,12,45,6e139d739bd0afc06e3b021033882ff1
siscat,siscat-p,siscat-relatorios,siscat-relatorios-d69748d85-kg9k5,OOMKilled,1,12,45,46891c5359827f8d47833cfc8415226b
siscat,siscat-d,siscat-requerente,siscat-requerente-5696cbc85-gf4zt,OOMKilled,1,12,45,7fa2c3534797269b0d5ec8247b0c2274
siscat,siscat-p,siscat-requerente,siscat-requerente-7c65f5c6f5-q5c97,OOMKilled,1,12,45,03b0302f08ded631c9abdcbc05aca489
siscat,siscat-p,siscat-requerente,siscat-requerente-7c65f5c6f5-wzz5l,OOMKilled,1,12,45,bc976bfef8a494e952c59adfe8ce4065
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-58msv,OOMKilled,1,12,45,1ab674450a46d8712a1f7ea8c98a0d44
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-5cnm9,OOMKilled,1,12,45,a72ef302b0a6b5c3be67756ab8e1bb03
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-69ngq,OOMKilled,1,12,45,6257235ebe9d66c89f4ae2a256b56e76
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-7b59b,OOMKilled,1,12,45,d6564dcf0fa93b5c39448e0155b14ca0
