Sistema,Ambiente,Modulo,Pod,Error,Qtd,Hora,Minuto,Hash
appgovbr,appgovbr-p2,nats-go-consumer,nats-go-consumer-86b7f5d8c6-b7mw9,OOMKilled,1,21,45,66a74ad903b24e1c2cee5b2081cf0947
appgovbr,appgovbr-p2,nats-go-consumer,nats-go-consumer-86b7f5d8c6-d8n9q,OOMKilled,1,21,45,39f4fb28f45ea06b8c2b9135da86ce20
appgovbr,appgovbr-p2,nats-go-consumer,nats-go-consumer-86b7f5d8c6-dmqlm,OOMKilled,1,21,45,763836ed47bdc53a7a9578d77400825e
appgovbr,appgovbr-p2,nats-go-consumer,nats-go-consumer-86b7f5d8c6-j8jtx,OOMKilled,1,21,45,f80a38228945f73e47a383db3c2c6281
appgovbr,appgovbr-p2,nats-go-consumer,nats-go-consumer-86b7f5d8c6-ml8v5,OOMKilled,1,21,45,e48a6f1d9c172a0e1a6d838a52e703f8
appgovbr,appgovbr-p2,nats-go-consumer,nats-go-consumer-86b7f5d8c6-ng62r,OOMKilled,1,21,45,fd0ba1387f3f497b551f8d18b4e4039b
appgovbr,appgovbr-p2,nats-go-consumer,nats-go-consumer-86b7f5d8c6-p2t7m,OOMKilled,1,21,45,0e3435c3c994ca822983f7003fadf01a
appgovbr,appgovbr-p2,nats-go-consumer,nats-go-consumer-86b7f5d8c6-r49nw,OOMKilled,1,21,45,e581927d9c7f8160a2d2d2efd73f71e9
appgovbr,appgovbr-p2,nats-go-consumer,nats-go-consumer-86b7f5d8c6-rnw66,OOMKilled,1,21,45,abb9b149216deb872079b453b8b3104a
appgovbr,appgovbr-p2,nats-go-consumer,nats-go-consumer-86b7f5d8c6-sgrpx,OOMKilled,1,21,45,129eb50630ae978a8298573d28ca441d
appgovbr,appgovbr-p2,nats-go-consumer,nats-go-consumer-86b7f5d8c6-trzt6,OOMKilled,1,21,45,24e818f9f60e996a0ecc1d326a4fb0f5
appgovbr,appgovbr-p2,nats-go-consumer,nats-go-consumer-86b7f5d8c6-vrf6w,OOMKilled,1,21,45,c1ee08292b289b38f543acd682e045f7
appgovbr,appgovbr-p2,nats-go-consumer,nats-go-consumer-86b7f5d8c6-vtntd,OOMKilled,1,21,45,b24859190a128b253a473f7caa81f265
appgovbr,appgovbr-p2,nats-go-consumer,nats-go-consumer-86b7f5d8c6-w4jfz,OOMKilled,1,21,45,8c261ffde8533460421acde53e679096
appgovbr,appgovbr-p2,nats-go-consumer,nats-go-consumer-86b7f5d8c6-wzwpp,OOMKilled,1,21,45,f149cc0f3a910774ce34832cb2a353ee
datavalidp,datavalidp-p,nats-node-8,nats-node-8-74c4d96495-hdvpm,OOMKilled,1,21,45,4c3269f4d22051eab5b5b895f87d7766
nfse,nfse-p,nfse-adn-recepcao-api,nfse-adn-recepcao-api-5946dc46fc-xsmvl,OOMKilled,1,21,45,28ca378b2609df4a69af36c3dd2ef432
esmon,esmon-pr,node,node-6cc474c74d-gh9rb,OOMKilled,1,21,45,7348b7dc1d83498e2864393efef3a312
redesimservicos,redesimservicos-d,notifica-deferimentos-batch,notifica-deferimentos-batch-1668631740-k6vkw,OOMKilled,1,21,45,36da480d39771110a3f25f1840d30a1c
redesimservicos,redesimservicos-d,notifica-deferimentos-batch,notifica-deferimentos-batch-1668635340-qclft,OOMKilled,1,21,45,425ce06de79b618c57f84e65849d5b65
sabia,sabia-p,nucam-api,nucam-api-7777bdffdd-99gwn,OOMKilled,1,21,45,a71507059314f3c6b52f0838e3f79c6e
api,api-estaleiro,paas-backend,paas-backend-cdbd976d-bm5hg,OOMKilled,1,21,45,dbc1ba7e624a92852a0918f1d654cfff
api,api-estaleiro,paas-backend,paas-backend-cdbd976d-c8gwn,OOMKilled,1,21,45,2659aaeb70b022d7ce8e9b62832b8410
api,api-estaleiro,paas-backend,paas-backend-cdbd976d-dblxs,OOMKilled,1,21,45,2bffdcadfaf24146e8847ab1f5c434e0
api,api-estaleiro,paas-backend,paas-backend-cdbd976d-pm486,OOMKilled,1,21,45,fdc97d75f8ddac7fc94464dc7fa294c5
api,api-estaleiro,paas-backend,paas-backend-cdbd976d-zh8hm,OOMKilled,1,21,45,d109078c3c90fc2475e70c6aa165afc8
faturamento,faturamento-p,pagamento,pagamento-78dffcbbf4-8wzbf,OOMKilled,1,21,45,d6e5ac6e06eaaa67aa181a672f7fd235
sccpgim,sccpgim-prod,pgim-backend,pgim-backend-54c6cc6c8-qhnmb,OOMKilled,1,21,45,94c3b45e7f9064d5bf1ae0f11b967ce4
sccpgim,sccpgim-prod,pgim-backend,pgim-backend-54c6cc6c8-zg4s8,OOMKilled,1,21,45,9d79c804f171aad32bc9d7cba0544cff
brcidadao,brcidadao-p,picturescalingv1,picturescalingv1-84977dfdb4-78xw6,OOMKilled,1,21,45,203cb29937838613d640579abea319be
