hash,hora,min,consumo_cpu
c84d6c28aa053c9000e49dac407b17ee,16.0,30.0,0.0617951350674101
87255aeaab0550c89f64c2d2608e3548,16.0,30.0,0.0390259374746531
9b3ec33a544e0ea8d7138a607ecf550a,16.0,30.0,2.7592745391174867
914f123e097895c95b3f13649897a4a7,16.0,30.0,0.1544480188155912
dffe60147f77e98539f9e39f4994e1ab,16.0,30.0,0.2480112160115896
7ed074991d2cc19a1fc280354d85c459,16.0,30.0,0.0376560196397635
b1f8f52fa1452b7e8953360270e86606,16.0,30.0,0.0530991485934135
7fba3a331928e6a308e35a1f30121516,16.0,30.0,0.0104528708308724
86a13104edad21a01e6536fad094fb82,16.0,30.0,0.0714172465638468
808b86d0d3e499579ce78f4cc957e7d1,16.0,30.0,6.240789656020762e-06
ff89b236b53b1b4b8a88d893a1724282,16.0,30.0,0.0003540242147774
6db783081354c20dcded312a7cfa91ee,16.0,30.0,0.0002717943113204
0b97b8481c8f8be59224f83a77e851c5,16.0,30.0,0.0001177436989206
cf2958d646c9c9737e41275836e8cb52,16.0,30.0,0.0228398334211211
b1242c4a5551d8c69ae0c0dabfa31719,16.0,30.0,0.0002276659469189
d36c6e8cce3fb63d79aad4611e1ed313,16.0,30.0,0.0236011297250951
595c321d5579d700a3c162d2966e6176,16.0,30.0,0.0032220308454737
7189cf310afd6d7df656f9b525a7d12a,16.0,30.0,0.03725499961
7918e3ec0091525c667ed5524a2abf71,16.0,30.0,6.587628149337347e-05
9506b2e0f76d7695d91ccbbd9a1922b6,16.0,30.0,5.602194465299961e-05
ac4147a913ea1e5803578bea8ee4d1bc,16.0,30.0,0.0603350060956185
cb3293284d87f614d86448b1b2f84439,16.0,30.0,0.0709421931495099
3e751e4d49c62a4626f68f9c7dda5a4a,16.0,30.0,0.0003709484217435
3e15150589d9ef21bacbcccdb53d3e80,16.0,30.0,9.470927741824704e-05
099b56b74940afd5fcdbf4e716f343e4,16.0,30.0,0.0008904204444446
35e2d5c03ef17b3437750ad006f387a0,16.0,30.0,0.0023275476355601
2f8284a2a7a08a9af10d0cb3ad4d2d74,16.0,30.0,0.0011577387642262
e9067191f1e034463d894bb14997b7f7,16.0,30.0,0.0016678413005228
dcf5cbdc163d00aa053c81fc44f1e3c0,16.0,30.0,0.0009674405007813
0c8b733641afa6f9931a9d08e955709b,16.0,30.0,0.0634509214941183
