Sistema,Ambiente,Modulo,Pod,Uso_CPU,Hora,Minuto,Hash
acfisc,acfisc-d,acfisc-gerador-anexo,acfisc-gerador-anexo-67777b6586-wcbhx,0.0003844121151487,12,0,19c646404160ad6609af2f878935ffcb
acfisc,acfisc-mon,acfisc-prometheus,acfisc-prometheus-786cdcbc66-9ls2v,0.0023870344889249,12,0,332c5e4f2084eb36084990884d1851c1
cadmei,cadmei-prd,activemq-artemis,activemq-artemis-74b969db9d-kllrj,0.0469180659599003,12,0,c84d6c28aa053c9000e49dac407b17ee
rendavar,rendavar-revarhom,activemq-revar,activemq-revar-659c858b5c-mhns2,0.0206402916770733,12,0,87255aeaab0550c89f64c2d2608e3548
mapasgovbr,mapasgovbr-dsv,airflow-scheduler,airflow-scheduler-5c47859876-dx9xp,2.9138899007741346,12,0,9b3ec33a544e0ea8d7138a607ecf550a
biovoz,biovoz-t,airflow-webserver,airflow-webserver-6d9cf87654-lwbg7,0.1806418865608424,12,0,914f123e097895c95b3f13649897a4a7
custos,custos-d,airflow-webserver,airflow-webserver-696489d47b-xng8m,0.2729431614919802,12,0,dffe60147f77e98539f9e39f4994e1ab
recdigitais,recdigitais-p,api,api-7d5674c8c5-tv47q,0.0148576152299523,12,0,7ed074991d2cc19a1fc280354d85c459
neoid,neoid-p,api,api-68bb77874-t6kg7,0.0575254578063464,12,0,b1f8f52fa1452b7e8953360270e86606
recdigitais,recdigitais-p,api,api-7d5674c8c5-gwxb5,0.0092039244963686,12,0,7fba3a331928e6a308e35a1f30121516
neoid,neoid-p,api,api-68bb77874-xh4lv,0.0283957133728422,12,0,6096e3488387e69289a82d654bce732f
brcidadao,brcidadao-p,api-contas-v1,api-contas-v1-f4ff6b678-vlf5x,0.0033775165729251,12,0,30a4249b38f13baed3cb17cadc26559e
sigepe-servidor,sigepe-servidor-mon,api-prometheus,api-prometheus-7c5c76df4c-2rkpq,0.000152330277557,12,0,dec4883e291046631f4ed7e8182ebd32
scaibama,scaibama-t1,apicorp-registry,apicorp-registry-69b987b85c-f5z5m,0.0003710378071455,12,0,ff89b236b53b1b4b8a88d893a1724282
scaibama,scaibama-val2,apicorp-registry,apicorp-registry-54bcb9cdf7-5l75d,0.0002861704616358,12,0,b4af8ac9dc7ad5762990d1f7d728f4a9
scaibama,scaibama-h,apicorp-registry,apicorp-registry-6c7fc5445c-wvnhn,0.0004153169244414,12,0,6db783081354c20dcded312a7cfa91ee
scaibama,scaibama-val,apicorp-registry,apicorp-registry-7496d6b5b6-6nbq2,0.0012126232610624,12,0,0b97b8481c8f8be59224f83a77e851c5
keycloak,keycloak-p4,app,app-765b8dd954-krpf2,0.0008100585177508,12,0,51f3297ab78074209a3b466db4d005c9
keycloak,keycloak-p4,app,app-765b8dd954-zv756,0.0026271986755272,12,0,4f9ebde82cfb42d308acb5e99a297139
keycloak,keycloak-p4,app,app-765b8dd954-pmb7w,0.0013632522524406,12,0,afe1400133051694b8efae0e1efaf042
keycloak,keycloak-p4,app,app-765b8dd954-q6xxp,0.0059159413254432,12,0,42bb3816e065a22511509097e93de1c5
keycloak,keycloak-p4,app,app-765b8dd954-vffml,0.0023048252199487,12,0,9146d2c216f523481811a81cc35b4fbd
pfauto,pfauto-p,area-gestor,area-gestor-89f8df8d-wlpwv,0.0001269454564943,12,0,cf2958d646c9c9737e41275836e8cb52
portemp,portemp-production,arealogada-backend,arealogada-backend-66bfd9dcc6-q5zv7,0.0003080336019777,12,0,564364e7b7926b52a473961832c4a1cc
sicalc,sicalc-p,backend,backend-7ffb578f9f-jtdct,13.786134283588462,12,0,d36c6e8cce3fb63d79aad4611e1ed313
sicalc,sicalc-p,backend,backend-7ffb578f9f-qkj5g,2.142251494836834,12,0,595c321d5579d700a3c162d2966e6176
procdecisorio,procdecisorio-p,backend,backend-b45444bb8-dhkkj,2.8729895391939566,12,0,f3491d13ffe7bebf8d80c51a0377a2e6
radarv2,radarv2-p,backend-core,backend-core-75f57db8cd-tljd2,4.393090065556994e-05,12,0,219a1b15aa2340abbd63beb7c90d3484
radarv2,radarv2-p,backend-core,backend-core-75f57db8cd-vlgbx,0.0001248049825906,12,0,7236a8f5f541835c7ee06d3818d4abdb
