Sistema,Ambiente,Modulo,Pod,Uso_CPU,Hora,Minuto,Hash
acionagl,acionagl-hom,aciona-gl,aciona-gl-7d6c46f795-v9jkw,0.0148694015569284,8,45,a665b4307cc4098cff881e61fc74a15a
cadmei,cadmei-prd,activemq-artemis,activemq-artemis-74b969db9d-kllrj,0.0096050516754375,8,45,c84d6c28aa053c9000e49dac407b17ee
puma,puma-prod,activemq-artemis,activemq-artemis-84774f588f-ljg8m,0.0002432044167468,8,45,bbdee148b2936ea4b41ff593792ef7e3
rendavar,rendavar-revarhom,activemq-revar,activemq-revar-659c858b5c-mhns2,0.1095242703713099,8,45,87255aeaab0550c89f64c2d2608e3548
mapasgovbr,mapasgovbr-dsv,airflow-scheduler,airflow-scheduler-5c47859876-dx9xp,2.673367654404626,8,45,9b3ec33a544e0ea8d7138a607ecf550a
biovoz,biovoz-t,airflow-webserver,airflow-webserver-6d9cf87654-lwbg7,0.1734884052034659,8,45,914f123e097895c95b3f13649897a4a7
custos,custos-d,airflow-webserver,airflow-webserver-696489d47b-xng8m,0.2858485772892623,8,45,dffe60147f77e98539f9e39f4994e1ab
recdigitais,recdigitais-p,api,api-7d5674c8c5-tv47q,0.0026168746781158,8,45,7ed074991d2cc19a1fc280354d85c459
neoid,neoid-p,api,api-68bb77874-t6kg7,0.0422796187454611,8,45,b1f8f52fa1452b7e8953360270e86606
recdigitais,recdigitais-p,api,api-7d5674c8c5-gwxb5,0.0085559303895756,8,45,7fba3a331928e6a308e35a1f30121516
idpro,idpro-h,api,api-55bb57df69-wt6j6,0.03252299367859,8,45,582cc9b5a4e55d8e440f784d7a69af95
brcidadao,brcidadao-p,api-contas-v1,api-contas-v1-f4ff6b678-h6fpp,0.0011589752033005,8,45,fb23606055b0a55db3e64fdf2eb825a6
scaibama,scaibama-h,apicorp-registry,apicorp-registry-6c7fc5445c-wvnhn,0.0024629063513687,8,45,6db783081354c20dcded312a7cfa91ee
scaibama,scaibama-val,apicorp-registry,apicorp-registry-7496d6b5b6-6nbq2,0.0001519905183799,8,45,0b97b8481c8f8be59224f83a77e851c5
keycloak,keycloak-dt,app,app-74df545fc9-6s8p6,0.0657309699411582,8,45,6db633684c5e7c212952891aaf0f5fea
sicalc,sicalc-p,backend,backend-7ffb578f9f-jtdct,0.0128110612049045,8,45,d36c6e8cce3fb63d79aad4611e1ed313
sicalc,sicalc-p,backend,backend-7ffb578f9f-qkj5g,0.0011209335353872,8,45,595c321d5579d700a3c162d2966e6176
procdecisorio,procdecisorio-p,backend,backend-b45444bb8-dhkkj,8.233423802087762,8,45,f3491d13ffe7bebf8d80c51a0377a2e6
radarv2,radarv2-p,backend-denatran,backend-denatran-5fb54f459c-fm7rm,0.0136442999100702,8,45,ebfa6ffb054dcf9e2b61c0db9a6350ae
spunet,spunet-des,barramento-registry,barramento-registry-cc7674599-5pg6m,0.0001590738591313,8,45,820f7d9d730b754f6978480a058d680a
console,console-d,bot-kibana,bot-kibana-7c447b9999-qlm6w,0.0007759737321081,8,45,d60f34d1167553db74e52cb926014f7e
caepf,caepf-mon,caepf-pth,caepf-pth-667c96554f-mztjz,2.040568309369208e-05,8,45,9506b2e0f76d7695d91ccbbd9a1922b6
esmon,esmon-pr,ceph,ceph-6465966654-522tn,0.0451068372367642,8,45,ac4147a913ea1e5803578bea8ee4d1bc
chatrfb,chatrfb-mon,chatrfb-prometheus,chatrfb-prometheus-7945496659-ncfcz,0.0295850226038183,8,45,cb3293284d87f614d86448b1b2f84439
carneleaoweb,carneleaoweb-mon,clweb-prometheus,clweb-prometheus-7f4c6469cd-zq7pf,0.0128738554077317,8,45,60d03626d732bb7f9a82eb576c02070b
cnbs,cnbs-p,cnbs-kibana,cnbs-kibana-5bb4486f9-dqqsn,0.0003264722944351,8,45,3e751e4d49c62a4626f68f9c7dda5a4a
cnetmobile,cnetmobile-pro,cnet-comprasnet-riscos,cnet-comprasnet-riscos-69c856db59-5lldk,0.0019556677499872,8,45,099b56b74940afd5fcdbf4e716f343e4
cnetmobile,cnetmobile-pro,cnet-comprasnet-riscos,cnet-comprasnet-riscos-69c856db59-w22x6,0.0026608395784827,8,45,35e2d5c03ef17b3437750ad006f387a0
cnetmobile,cnetmobile-pro,cnet-comprasnet-riscos,cnet-comprasnet-riscos-69c856db59-92pwx,0.0006157956615527,8,45,2f8284a2a7a08a9af10d0cb3ad4d2d74
cnetmobile,cnetmobile-pro,cnet-comprasnet-riscos,cnet-comprasnet-riscos-69c856db59-hj767,1.6018078644831094e-05,8,45,e9067191f1e034463d894bb14997b7f7
cnetmobile,cnetmobile-pro,cnet-nats-server,cnet-nats-server-5dbbbdd9f5-br6pq,0.0023985535570139,8,45,dcf5cbdc163d00aa053c81fc44f1e3c0
cnetmobile,cnetmobile-mon,cnetmobile-grafana,cnetmobile-grafana-589885b4bc-g7kb6,0.0105997251174416,8,45,244c789fba28cbde0111f9b0a2ff17f3
cnetmobile,cnetmobile-mon,cnetmobile-prometheus,cnetmobile-prometheus-675f949994-bm6c8,0.0667899598696846,8,45,0c8b733641afa6f9931a9d08e955709b
fgtsd,fgtsd-h,cob-backend,cob-backend-597985587f-sxfdh,1.0946555320424038,8,45,317642009d0ee888eb79be0206deceaf
fgtsd,fgtsd-m,comu-grafana,comu-grafana-545778f8d4-vfkd2,1.963103902300945e-05,8,45,8551c392a853825619ddc50b9891dacd
consultacnpj,consultacnpj-production,consulta-publica-cnpj-backend,consulta-publica-cnpj-backend-6657d5b7c7-l45km,0.0022159945239646,8,45,ebda581a6242edae8d75dceaae626b1c
metallb,metallb-system,controller,controller-8569756f47-tmq8x,0.1090478704394043,8,45,c07203137e7a805592e86e7aeae3963e
credencia,credencia-mon,credencia-pth,credencia-pth-6c97c4f4bc-sg9rs,7.092300806453673e-05,8,45,95d65f22721bbb6a309023d485de10ab
mdmservices,mdmservices-p,dado-referencia,dado-referencia-55bf664d68-77sm5,0.2610359617892307,8,45,742a7b1a4ef8aed37d4ce99a3a7bcda9
meudominio,meudominio-datadiscovery,data-discovery,data-discovery-569d879b7-7hbgn,0.0040004135013651,8,45,991e8a960879cf3bfd5a5d33451a18a8
labcta,labcta-dedatsearch,dedatsearch-kibana,dedatsearch-kibana-7765d6f85-fq2bz,3.851547044712313e-05,8,45,1a54eec2da86dda8b3f5d0e800b94c33
carteiradigital,carteiradigital-p,denatrandigital-backend,denatrandigital-backend-7bf997d5b-kg6lh,0.0380552790939811,8,45,910022684a225515d59db51835b4692e
carteiradigital,carteiradigital-p,denatrandigital-backend,denatrandigital-backend-7bf997d5b-8kwzh,0.0689122899519425,8,45,2eda9e20b2e3185277393aacdf1b7c8e
mdmservices,mdmservices-v,dm-empregado,dm-empregado-6ccbb4d6cd-prchf,1.4821986563259222,8,45,d8eaabdaf5eac6555d755178b5d0452d
mdmservices,mdmservices-p,dm-empregado,dm-empregado-7f554555b-wtsc5,28.355379427362685,8,45,a1482176baa4a760024fbb97c1d72666
mdmservices,mdmservices-p,dm-empregado,dm-empregado-7f554555b-r9vx5,5.829405133685975,8,45,14fea8f7653c5d823f27cd1ac838296c
mdmservices,mdmservices-p,dm-empregado,dm-empregado-7f554555b-wz2ms,24.167320096465257,8,45,3b40e53363c3adafe85775e1602a57c6
mdmservices,mdmservices-p,dm-empregado,dm-empregado-7f554555b-42ggt,36.15012048726648,8,45,95de2ee61ebb649477d8b908f0189fc7
dolme,dolme-p,dme,dme-5b84b7bc87-6w8mm,0.0082466657001022,8,45,95aa1433dd8a66eb37a095ceb57bdc91
dolme,dolme-p,dme,dme-5b84b7bc87-bfjc5,0.006955681463045,8,45,0ed590b782935bdfce71f5241b4d332a
dolme,dolme-p,dme,dme-5b84b7bc87-wjzcp,0.0170528533172169,8,45,f95439f9d686bf5235a1aff844c8b154
issqndpi,issqndpi-mon,dpi-grafana,dpi-grafana-7b99b9f5ff-s7r49,0.0028014173186724,8,45,e95e585e0a6570fc4a833d5ca22c88d3
sinesp-delegaciavirtual,sinesp-delegaciavirtual-mon,dv-prometheus,dv-prometheus-6c85f64b4d-7gp8x,0.0179352007382962,8,45,fd1d25cfebbdc391e95dfb7e86d67430
ibmmqcorp,ibmmqcorp-p,e-sp-corp-08276,e-sp-corp-08276-687df6976d-k52p9,0.0025086998224375,8,45,c60cd2b937690ad575e27dc9887ff128
ibmmqcorp,ibmmqcorp-h,e-sp-corp-08276-2,e-sp-corp-08276-2-58dc9697f6-48kjj,0.0103634912522715,8,45,b7632584ae35d80a5b1ffbe0516f9c57
ibmmqcorp,ibmmqcorp-h,e-sp-corp-92116-1,e-sp-corp-92116-1-cf846f7b9-82xr4,4.389830890925219e-05,8,45,25371f7aaf836c5bbb5af61c36169dd8
ibmmqcorp,ibmmqcorp-h,e-sp-corp-92116-2,e-sp-corp-92116-2-559468f6fc-wlg9z,0.0001789297088368,8,45,2dd930f677a74b5146028908126cf992
sinespppe,sinespppe-t,elasticsearch,elasticsearch-77cc5dc449-8hwfd,0.0002237083345987,8,45,6eaf9b4bf3a9ae5e29bd604fa6ba73fe
fiscdenatran,fiscdenatran-mon,fistran-prometheus,fistran-prometheus-5ff4cdfcd8-9lft6,0.002333151968416,8,45,311110f4bf5dd99f4cc4bafb17d2dff5
sinespppe,sinespppe-mon,grafana,grafana-5fcd7b4664-k7plq,0.001699354625704,8,45,3338acc4232c1128aa023fa618e8aeaf
scaibama,scaibama-mon,grafana,grafana-5c5c8b57c-c8l47,0.0001587574949307,8,45,4d6662520207bb6da0f89665e31daa4f
siefpar,siefpar-monitoracao,grafana,grafana-67445fcbbb-hbmx9,0.0047576457199112,8,45,76a5f69bb4bb249650625430fdb5e949
painelgtec,painelgtec-p,grafana,grafana-5775649448-gzjjc,0.0063697811958992,8,45,23a43343ed72953a646e60007151ac59
biodata,biodata-mon,grafana,grafana-b6c7d74c4-cxb8c,0.000148454026445,8,45,afd73144b5abff47e3dc8cb6a01f95ba
pncp,pncp-mon,grafana,grafana-77cf7d5987-8slks,0.0105075837794021,8,45,6d173bf0596885196bd92121fd39d7bc
liveness,liveness-mon,grafana,grafana-5559866d98-vpzhb,0.000107617139957,8,45,649568941d85d37d3d8b68316dc87f33
hendrix,hendrix-p,grafana,grafana-5ffd5f8cbd-stw29,5.275071440871592e-05,8,45,8dceca79d72ae609e0c59c311890e650
barramentoirpf,barramentoirpf-mon,grafana,grafana-f5d59cdb7-p8874,0.0053360845005388,8,45,486c4775c644a99104c28952946348b0
datavalidp,datavalidp-mon,grafana,grafana-6cc67fbd7b-8crlr,0.0175383182024452,8,45,bd38f8e5a9d6381b0e816b8d81c96d6b
sinespcad,sinespcad-mon,grafana,grafana-76d4648ff6-ngbmt,0.0002601827020466,8,45,cd4428195bf82c26f5d9449b2ede4467
dedat,dedat-green,green-influx,green-influx-7899d94666-c2v7g,3.285236866655195e-05,8,45,54ffc2d0fa9e061d5c16a2ff213759e1
esmon,esmon-pr,haproxy,haproxy-7f89c8b8c-jpltl,0.0045409145351264,8,45,826b2d655ceda03f661c2f0bb6789012
esmon,esmon-pr,haproxy2,haproxy2-6996c66844-nj59q,2.3268774585051704,8,45,7f85198afaa0936088af8984235b2f6d
ingress,ingress-controller,ingress-default-backend,ingress-default-backend-9bfc69579-nt5fr,0.0052396336065125,8,45,c48ccfa8d2157b2e671bbe8b204e8335
ingress,ingress-controller,ingress-default-backend,ingress-default-backend-9bfc69579-xtd6f,0.0062566900418936,8,45,16717af6724817bfd66f27c9486804b5
ingress,ingress-controller,ingress-default-backend,ingress-default-backend-9bfc69579-kf2n4,0.008695690547572,8,45,9b0b8cde7a50fcd1524279db4256af60
esmon,esmon-pr,kconmon,kconmon-7dbf7c96fc-gn7jn,0.0298037988680588,8,45,7d8da7849f957188a8be0a2f3561bdd4
sigepeged,sigepeged-h,kd,kd-d96c67f-8tx47,4.388789167520708e-05,8,45,1d88580a5060e9faf3c084cc7338d0f0
sigepeged,sigepeged-d,kd,kd-6647d854fc-zsbwg,1.4793214194412148e-05,8,45,23d81bfc6e591982fff580e2de9644dc
sigepe-talentos,sigepe-talentos-homolog,kibana,kibana-6c6684c8c8-hxqqr,0.0001479035882308,8,45,763012e81ebc15166a828d4d299754df
extratoirpf,extratoirpf-pro,kibana,kibana-6ffc4676b8-g8c4g,0.0003613430628582,8,45,5ea90b6e3439fc3de9534fd77ac49f09
kafkacorp,kafkacorp-prod,kibana,kibana-b97c848d8-428xg,9.680014567640828e-05,8,45,ae9c34fe8807ee0e282e83148da13dc2
hendrix,hendrix-p,kibana,kibana-867ddff87-28d2m,0.0003072298534952,8,45,8dbb7b52aa48e192749eeb7933eeae8e
portalunico,portalunico-val,kibana,kibana-7676c9cb7f-b6bhl,0.0003576444839478,8,45,c7cfc38a2bd9b493b525ca3869c4a9c4
painelgtec,painelgtec-p,kibana,kibana-786b658c45-28nqt,0.0003264180820311,8,45,0fdaf5a161f85beee0611c7d7bd013ad
