Sistema,Ambiente,Modulo,Pod,Uso_CPU,Hora,Minuto,Hash
spunet,spunet-pro,acervo-backend,acervo-backend-c84f8db5c-6pz9k,0.0005456706635718,13,30,ce4468ee8389709c20b40ed1c09a36c1
spunet,spunet-pro,acervo-backend,acervo-backend-c84f8db5c-pq4t5,0.0009557008696766,13,30,0dcf61756612a9edfc06d254802e4b28
spunet,spunet-pro,acervo-backend,acervo-backend-c84f8db5c-6lvqr,0.0007797167548048,13,30,19d9963e0460ed384a60ef724eb79ba0
spunet,spunet-des,acervo-backend,acervo-backend-577676bcc6-ftdps,0.0008232112918022,13,30,0e46d4b8273410af0aed4bf0bb078fe7
spunet,spunet-pro,acervo-backend,acervo-backend-c84f8db5c-sjg2h,0.0008948659262464,13,30,1e300feefc2f05d7e69bbae4dd0a7bda
spunet,spunet-hom,acervo-backend,acervo-backend-5b4555f876-9h87l,0.0006416695359076,13,30,00432c81d5c994cdcfd941634bc5705d
irpfonline,irpfonline-h,acesso-gov,acesso-gov-867c57cff8-mvvcb,0.0049617086700484,13,30,6ea197bec278345eb050a1c3afd023b2
barramentoirpf,barramentoirpf-p,acesso-gov,acesso-gov-646b9dd5b5-qzr7s,0.0068280700496515,13,30,e718d2154c7f59c5526938d772d6193a
barramentoirpf,barramentoirpf-h,acesso-gov,acesso-gov-64cd99f79-8d2rd,0.0045313302930217,13,30,62eaefb7f62ea7efcae0032d167dd9b4
irpfonline,irpfonline-p,acesso-gov,acesso-gov-744796c5ff-h6q7d,0.0064642600633589,13,30,e4bb80ff171229f80352e22ad8850418
irpfonline,irpfonline-t,acesso-gov,acesso-gov-78d6f94d5b-pnsds,0.0046585403082711,13,30,a32693a31404181acb1a5caec23950a4
irpfonline,irpfonline-p,acesso-gov,acesso-gov-744796c5ff-g7v5n,0.0087277318866726,13,30,ed4fdfd7e6428b18b5604a27062575ef
barramentoirpf,barramentoirpf-p,acesso-gov,acesso-gov-646b9dd5b5-hl72h,0.0063738124121195,13,30,9db4e84287f2f001178db0b86470fe41
irpfonline,irpfonline-p,acesso-gov,acesso-gov-744796c5ff-k4fdh,0.0100003473119447,13,30,6b197886c3b7945a8ac1c8fc2d5c173c
irpfonline,irpfonline-p,acesso-gov,acesso-gov-744796c5ff-dkgpc,0.009101344919484,13,30,3b9c47fa1000cea1d1809fe12cae8b17
barramentoirpf,barramentoirpf-p,acesso-gov,acesso-gov-646b9dd5b5-nr947,0.0068168022131811,13,30,4e07d2272bbbbbd5ce32728e1c0489bd
vendas,vendas-d,acessohod,acessohod-bd849c77d-hzwkw,0.0,13,30,fbceac5fdfdf380e81ab760d2479379d
spunet,spunet-desacessos,acessos-core,acessos-core-866d756cf8-s9ps7,0.0046281857349428,13,30,d78e57635d9c2cf40d10ed0be753af16
spunet,spunet-proacessos,acessos-core,acessos-core-7dc8bc67d9-jpxrd,0.0142204964685249,13,30,5bce731a5d824a483bc97709e0a42d6b
spunet,spunet-proacessos,acessos-core,acessos-core-7dc8bc67d9-6hrhn,0.0115121547948197,13,30,2bff9b90e0fec059b42c8eb6aaefeda2
spunet,spunet-proacessos,acessos-core,acessos-core-7dc8bc67d9-vt6kb,0.0340021822569597,13,30,46d333295c2bf58475051a0be694790a
spunet,spunet-homacessos,acessos-core,acessos-core-6cc78b8d56-v6j2n,0.0052674662455636,13,30,8aaf251a6c3d202fb00b0b8293be925c
spunet,spunet-proacessos,acessos-core,acessos-core-7dc8bc67d9-vthmv,0.0141598650926085,13,30,7fcd33485aed4bb4158ec3f034758de3
