Sistema,Ambiente,Modulo,Pod,Uso_Memoria,Hora,Minuto,Hash
spunet,spunet-pro,acervo-backend,acervo-backend-c84f8db5c-6pz9k,1648508928,5,30,ce4468ee8389709c20b40ed1c09a36c1
spunet,spunet-pro,acervo-backend,acervo-backend-c84f8db5c-pq4t5,2023120896,5,30,0dcf61756612a9edfc06d254802e4b28
spunet,spunet-pro,acervo-backend,acervo-backend-c84f8db5c-6lvqr,1720037376,5,30,19d9963e0460ed384a60ef724eb79ba0
spunet,spunet-des,acervo-backend,acervo-backend-577676bcc6-ftdps,783994880,5,30,0e46d4b8273410af0aed4bf0bb078fe7
spunet,spunet-pro,acervo-backend,acervo-backend-c84f8db5c-sjg2h,2060374016,5,30,1e300feefc2f05d7e69bbae4dd0a7bda
spunet,spunet-hom,acervo-backend,acervo-backend-5b4555f876-9h87l,1007181824,5,30,00432c81d5c994cdcfd941634bc5705d
irpfonline,irpfonline-h,acesso-gov,acesso-gov-867c57cff8-mvvcb,61083648,5,30,6ea197bec278345eb050a1c3afd023b2
barramentoirpf,barramentoirpf-p,acesso-gov,acesso-gov-646b9dd5b5-qzr7s,61747200,5,30,e718d2154c7f59c5526938d772d6193a
barramentoirpf,barramentoirpf-h,acesso-gov,acesso-gov-64cd99f79-8d2rd,60432384,5,30,62eaefb7f62ea7efcae0032d167dd9b4
irpfonline,irpfonline-p,acesso-gov,acesso-gov-744796c5ff-h6q7d,66756608,5,30,e4bb80ff171229f80352e22ad8850418
irpfonline,irpfonline-t,acesso-gov,acesso-gov-78d6f94d5b-pnsds,61657088,5,30,a32693a31404181acb1a5caec23950a4
irpfonline,irpfonline-p,acesso-gov,acesso-gov-744796c5ff-g7v5n,68976640,5,30,ed4fdfd7e6428b18b5604a27062575ef
barramentoirpf,barramentoirpf-d,acesso-gov,acesso-gov-6679f76cbb-k68mg,35155968,5,30,722f7a0572ff77c244a13c84e29d3d52
barramentoirpf,barramentoirpf-p,acesso-gov,acesso-gov-646b9dd5b5-hl72h,61104128,5,30,9db4e84287f2f001178db0b86470fe41
irpfonline,irpfonline-p,acesso-gov,acesso-gov-744796c5ff-k4fdh,68034560,5,30,6b197886c3b7945a8ac1c8fc2d5c173c
